referrer,views_total,views_unique
sap.github.io,661,319
Google,589,364
github.com,204,48
statics.teams.cdn.office.net,57,17
Bing,49,26
wiki.one.int.sap,38,17
hub.docker.com,29,14
pages.github.tools.sap,28,13
chatgpt.com,26,8
Baidu,22,5
