referrer,views_total,views_unique
sap.github.io,741,298
Google,556,333
github.com,182,40
Bing,33,27
hub.docker.com,30,25
wiki.one.int.sap,26,13
statics.teams.cdn.office.net,24,10
confluence.secext.samsung.net,24,9
javaalmanac.io,20,7
me.sap.com,17,14
