referrer,views_total,views_unique
sap.github.io,978,358
Google,540,356
github.com,122,38
confluence.secext.samsung.net,44,16
Bing,36,23
pages.github.tools.sap,30,10
statics.teams.cdn.office.net,29,22
me.sap.com,28,15
DuckDuckGo,26,10
hub.docker.com,23,18
