referrer,views_total,views_unique
sap.github.io,1229,499
Google,635,333
Bing,88,44
github.com,77,29
statics.teams.cdn.office.net,72,25
wiki.one.int.sap,49,17
confluence.secext.samsung.net,48,13
ecosia.org,34,7
hub.docker.com,29,16
help.sap.com,20,11
