time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-13 00:00:00+00:00,381,16,817,122
2024-08-14 00:00:00+00:00,312,10,307,119
2024-08-15 00:00:00+00:00,873,17,259,85
2024-08-16 00:00:00+00:00,537,20,252,113
2024-08-17 00:00:00+00:00,352,5,102,39
2024-08-18 00:00:00+00:00,12,4,164,67
2024-08-19 00:00:00+00:00,102,5,389,149
2024-08-20 00:00:00+00:00,308,6,458,106
2024-08-21 00:00:00+00:00,487,8,258,110
2024-08-22 00:00:00+00:00,828,10,240,113
2024-08-23 00:00:00+00:00,339,7,238,96
2024-08-24 00:00:00+00:00,354,9,94,32
2024-08-25 00:00:00+00:00,9,3,45,23
2024-08-26 00:00:00+00:00,12,3,324,107
