time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-04 00:00:00+00:00,381,4,254,112
2024-10-05 00:00:00+00:00,234,6,93,39
2024-10-06 00:00:00+00:00,314,8,66,30
2024-10-07 00:00:00+00:00,615,16,434,149
2024-10-08 00:00:00+00:00,667,19,563,179
2024-10-09 00:00:00+00:00,319,7,287,138
2024-10-10 00:00:00+00:00,316,7,412,156
2024-10-11 00:00:00+00:00,321,10,238,110
2024-10-12 00:00:00+00:00,261,15,68,28
2024-10-13 00:00:00+00:00,164,7,76,40
2024-10-14 00:00:00+00:00,9,3,339,145
2024-10-15 00:00:00+00:00,333,8,411,163
2024-10-16 00:00:00+00:00,371,4,426,163
2024-10-17 00:00:00+00:00,521,10,388,166
