referrer,views_total,views_unique
sap.github.io,967,485
Google,453,291
github.com,104,38
Bing,90,47
statics.teams.cdn.office.net,80,19
confluence.secext.samsung.net,33,10
qiita.com,29,3
me.sap.com,24,16
DuckDuckGo,22,9
ecosia.org,21,10
