referrer,views_total,views_unique
sap.github.io,1244,506
Google,636,336
Bing,89,44
github.com,86,33
statics.teams.cdn.office.net,74,25
wiki.one.int.sap,50,18
confluence.secext.samsung.net,48,13
ecosia.org,34,7
hub.docker.com,30,17
help.sap.com,20,11
