time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-13 00:00:00+00:00,395,13,211,109
2024-09-14 00:00:00+00:00,399,7,121,31
2024-09-15 00:00:00+00:00,167,6,56,26
2024-09-16 00:00:00+00:00,125,15,258,94
2024-09-17 00:00:00+00:00,299,19,344,139
2024-09-18 00:00:00+00:00,391,8,529,148
2024-09-19 00:00:00+00:00,405,8,345,151
2024-09-20 00:00:00+00:00,389,10,314,155
2024-09-21 00:00:00+00:00,315,9,56,35
2024-09-22 00:00:00+00:00,85,4,56,31
2024-09-23 00:00:00+00:00,84,3,408,145
2024-09-24 00:00:00+00:00,548,11,447,165
2024-09-25 00:00:00+00:00,578,21,396,144
2024-09-26 00:00:00+00:00,811,13,361,162
