referrer,views_total,views_unique
sap.github.io,980,475
Google,476,284
Bing,100,47
statics.teams.cdn.office.net,83,20
github.com,73,37
confluence.secext.samsung.net,37,12
DuckDuckGo,25,12
me.sap.com,24,15
wiki.one.int.sap,15,12
workzone-core.one.int.sap,13,2
