referrer,views_total,views_unique
sap.github.io,829,306
Google,522,358
Bing,76,31
github.com,73,35
confluence.secext.samsung.net,37,14
me.sap.com,25,12
DuckDuckGo,21,11
hub.docker.com,20,14
wiki.one.int.sap,18,11
pages.community.sap.com,18,4
