time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-19 00:00:00+00:00,23,10,294,100
2024-07-20 00:00:00+00:00,588,8,53,18
2024-07-21 00:00:00+00:00,108,9,39,21
2024-07-22 00:00:00+00:00,200,9,408,119
2024-07-23 00:00:00+00:00,533,17,285,148
2024-07-24 00:00:00+00:00,668,17,417,130
2024-07-25 00:00:00+00:00,365,8,453,141
2024-07-26 00:00:00+00:00,537,8,292,99
2024-07-27 00:00:00+00:00,330,8,65,35
2024-07-28 00:00:00+00:00,103,6,40,21
2024-07-29 00:00:00+00:00,245,5,310,106
2024-07-30 00:00:00+00:00,775,12,426,119
2024-07-31 00:00:00+00:00,359,15,245,111
2024-08-01 00:00:00+00:00,895,11,312,123
