url_path,views_total,views_unique
/SAP/SapMachine/wiki/Installation,683,381
/SAP/SapMachine,538,302
/SAP/SapMachine/releases,219,89
/SAP/SapMachine/wiki/Frequently-Asked-Questions,95,63
/SAP/SapMachine/releases/tag/sapmachine-23,78,40
/SAP/SapMachine/wiki/Differences-between-SapMachine-and-OpenJDK,76,63
/SAP/SapMachine/wiki/Essential-Information-on-Virtual-Threads,71,50
/SAP/SapMachine/issues/554,57,49
/SAP/SapMachine/releases/tag/sapmachine-17.0.12,57,41
/SAP/SapMachine/releases/tag/sapmachine-22.0.2,55,22
