time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-02 00:00:00+00:00,518,7,270,127
2024-10-03 00:00:00+00:00,582,10,242,113
2024-10-04 00:00:00+00:00,381,4,254,112
2024-10-05 00:00:00+00:00,234,6,93,39
2024-10-06 00:00:00+00:00,314,8,66,30
2024-10-07 00:00:00+00:00,615,16,434,149
2024-10-08 00:00:00+00:00,667,19,563,179
2024-10-09 00:00:00+00:00,319,7,287,138
2024-10-10 00:00:00+00:00,316,7,412,156
2024-10-11 00:00:00+00:00,320,9,244,115
2024-10-12 00:00:00+00:00,261,15,68,28
2024-10-13 00:00:00+00:00,164,7,76,40
2024-10-14 00:00:00+00:00,9,3,339,145
2024-10-15 00:00:00+00:00,332,8,402,154
