referrer,views_total,views_unique
sap.github.io,650,268
Google,522,326
github.com,181,42
Bing,33,26
wiki.one.int.sap,26,12
hub.docker.com,24,20
statics.teams.cdn.office.net,20,8
confluence.secext.samsung.net,18,8
javaalmanac.io,17,6
me.sap.com,15,12
