referrer,views_total,views_unique
sap.github.io,703,342
Google,565,355
github.com,223,50
statics.teams.cdn.office.net,69,24
Bing,49,24
pages.github.tools.sap,32,17
wiki.one.int.sap,29,12
me.sap.com,26,18
hub.docker.com,24,16
chatgpt.com,19,7
