referrer,views_total,views_unique
sap.github.io,782,295
Google,526,361
Bing,76,31
github.com,72,34
confluence.secext.samsung.net,37,14
me.sap.com,23,11
hub.docker.com,20,14
DuckDuckGo,20,10
wiki.one.int.sap,18,11
pages.community.sap.com,18,4
