time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-30 00:00:00+00:00,775,12,426,119
2024-07-31 00:00:00+00:00,359,15,245,111
2024-08-01 00:00:00+00:00,896,11,315,125
2024-08-02 00:00:00+00:00,1075,13,355,91
2024-08-03 00:00:00+00:00,291,12,77,26
2024-08-04 00:00:00+00:00,173,22,41,23
2024-08-05 00:00:00+00:00,103,7,250,121
2024-08-06 00:00:00+00:00,428,14,251,120
2024-08-07 00:00:00+00:00,410,8,298,118
2024-08-08 00:00:00+00:00,776,13,340,106
2024-08-09 00:00:00+00:00,672,23,275,98
2024-08-10 00:00:00+00:00,433,17,51,32
2024-08-11 00:00:00+00:00,18,5,61,22
2024-08-12 00:00:00+00:00,100,5,227,108
