time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-08 00:00:00+00:00,667,19,563,179
2024-10-09 00:00:00+00:00,319,7,287,138
2024-10-10 00:00:00+00:00,316,7,412,156
2024-10-11 00:00:00+00:00,320,10,242,113
2024-10-12 00:00:00+00:00,261,15,68,28
2024-10-13 00:00:00+00:00,164,7,76,40
2024-10-14 00:00:00+00:00,9,3,339,145
2024-10-15 00:00:00+00:00,333,8,411,163
2024-10-16 00:00:00+00:00,371,4,426,163
2024-10-17 00:00:00+00:00,523,10,394,168
2024-10-18 00:00:00+00:00,467,8,371,113
2024-10-19 00:00:00+00:00,191,5,130,28
2024-10-20 00:00:00+00:00,6,4,63,24
2024-10-21 00:00:00+00:00,5,4,431,150
