referrer,views_total,views_unique
sap.github.io,713,264
Google,501,347
github.com,78,37
Bing,72,29
confluence.secext.samsung.net,36,14
me.sap.com,21,10
hub.docker.com,19,13
wiki.one.int.sap,18,11
pages.community.sap.com,17,3
DuckDuckGo,16,8
