referrer,views_total,views_unique
sap.github.io,774,372
Google,594,379
github.com,227,51
statics.teams.cdn.office.net,68,23
Bing,52,26
pages.github.tools.sap,34,18
me.sap.com,28,20
wiki.one.int.sap,28,14
hub.docker.com,24,17
chatgpt.com,19,7
