referrer,views_total,views_unique
sap.github.io,750,365
Google,591,376
github.com,225,51
statics.teams.cdn.office.net,70,25
Bing,52,26
pages.github.tools.sap,34,18
wiki.one.int.sap,32,15
me.sap.com,28,20
hub.docker.com,25,17
chatgpt.com,19,7
