referrer,views_total,views_unique
sap.github.io,1114,515
Google,572,326
Bing,112,50
statics.teams.cdn.office.net,74,26
github.com,65,31
confluence.secext.samsung.net,52,14
me.sap.com,24,14
wiki.one.int.sap,18,13
ecosia.org,17,9
workzone-core.one.int.sap,15,3
