url_path,views_total,views_unique
/SAP/SapMachine/wiki/Installation,929,500
/SAP/SapMachine,529,342
/SAP/SapMachine/releases,240,109
/SAP/SapMachine/releases/tag/sapmachine-23,139,61
/SAP/SapMachine/wiki/Frequently-Asked-Questions,120,61
/SAP/SapMachine/wiki/Differences-between-SapMachine-and-OpenJDK,93,76
/SAP/SapMachine/releases/tag/sapmachine-17.0.12,77,43
/SAP/SapMachine/wiki/Essential-Information-on-Virtual-Threads,61,44
/SAP/SapMachine/pulls,54,16
/SAP/SapMachine/wiki/Maintenance-and-Support,47,31
