referrer,views_total,views_unique
sap.github.io,904,313
Google,497,338
github.com,110,34
Bing,44,25
confluence.secext.samsung.net,38,14
me.sap.com,29,15
DuckDuckGo,27,8
hub.docker.com,22,17
statics.teams.cdn.office.net,20,15
pages.github.tools.sap,14,4
