time_iso8601,stars_cumulative
2020-01-11 00:00:00+00:00,172
2020-01-14 00:00:00+00:00,173
2020-01-15 00:00:00+00:00,174
2020-01-21 00:00:00+00:00,175
2020-01-28 00:00:00+00:00,176
2020-02-16 00:00:00+00:00,177
2020-02-17 00:00:00+00:00,178
2020-02-28 00:00:00+00:00,179
2020-03-01 00:00:00+00:00,180
2020-03-06 00:00:00+00:00,182
2020-03-09 00:00:00+00:00,183
2020-03-11 00:00:00+00:00,184
2020-03-12 00:00:00+00:00,185
2020-03-13 00:00:00+00:00,186
2020-03-18 00:00:00+00:00,187
2020-03-19 00:00:00+00:00,188
2020-03-20 00:00:00+00:00,189
2020-03-24 00:00:00+00:00,190
2020-04-07 00:00:00+00:00,191
2020-04-08 00:00:00+00:00,192
2020-04-21 00:00:00+00:00,193
2020-04-22 00:00:00+00:00,194
2020-04-23 00:00:00+00:00,196
2020-04-27 00:00:00+00:00,197
2020-04-28 00:00:00+00:00,198
2020-05-04 00:00:00+00:00,199
2020-05-10 00:00:00+00:00,200
2020-05-13 00:00:00+00:00,201
2020-05-25 00:00:00+00:00,202
2020-05-26 00:00:00+00:00,203
2020-05-28 00:00:00+00:00,204
2020-05-31 00:00:00+00:00,206
2020-06-07 00:00:00+00:00,207
2020-06-09 00:00:00+00:00,208
2020-06-11 00:00:00+00:00,209
2020-06-14 00:00:00+00:00,210
2020-06-15 00:00:00+00:00,211
2020-06-17 00:00:00+00:00,212
2020-06-21 00:00:00+00:00,213
2020-06-22 00:00:00+00:00,214
2020-06-25 00:00:00+00:00,216
2020-06-26 00:00:00+00:00,217
2020-07-14 00:00:00+00:00,218
2020-07-15 00:00:00+00:00,219
2020-07-17 00:00:00+00:00,220
2020-07-23 00:00:00+00:00,221
2020-08-10 00:00:00+00:00,222
2020-08-13 00:00:00+00:00,224
2020-08-24 00:00:00+00:00,225
2020-08-25 00:00:00+00:00,226
2020-09-01 00:00:00+00:00,227
2020-09-16 00:00:00+00:00,228
2020-09-17 00:00:00+00:00,229
2020-09-18 00:00:00+00:00,230
2020-09-19 00:00:00+00:00,231
2020-09-28 00:00:00+00:00,233
2020-10-12 00:00:00+00:00,234
2020-10-14 00:00:00+00:00,235
2020-10-23 00:00:00+00:00,236
2020-10-30 00:00:00+00:00,237
2020-10-31 00:00:00+00:00,238
2020-11-02 00:00:00+00:00,239
2020-11-03 00:00:00+00:00,240
2020-11-09 00:00:00+00:00,241
